product, price , quantity ,sales ,date,region
pink morsel,3,545,1635,11-06-2019,north
pink morsel,3,521,1563,11-06-2019,south
pink morsel,3,595,1785,11-06-2019,east
pink morsel,3,507,1521,11-06-2019,west
gold morsel,$9.99,529,,11-06-2019,north
gold morsel,$9.99,509,,11-06-2019,south
gold morsel,$9.99,513,,11-06-2019,east
gold morsel,$9.99,585,,11-06-2019,west
magenta morsel,$2.50,586,,11-06-2019,north
magenta morsel,$2.50,561,,11-06-2019,south
magenta morsel,$2.50,551,,11-06-2019,east
magenta morsel,$2.50,568,,11-06-2019,west
chartreuse morsel,$3.00,568,,11-06-2019,north
chartreuse morsel,$3.00,563,,11-06-2019,south
chartreuse morsel,$3.00,532,,11-06-2019,east
chartreuse morsel,$3.00,514,,11-06-2019,west
periwinkle morsel,$1.25,566,,11-06-2019,north
periwinkle morsel,$1.25,539,,11-06-2019,south
periwinkle morsel,$1.25,505,,11-06-2019,east
periwinkle morsel,$1.25,508,,11-06-2019,west
vermilion morsel,$4.99,541,,11-06-2019,north
vermilion morsel,$4.99,588,,11-06-2019,south
vermilion morsel,$4.99,545,,11-06-2019,east
vermilion morsel,$4.99,583,,11-06-2019,west
lapis morsel,$1.99,544,,11-06-2019,north
lapis morsel,$1.99,556,,11-06-2019,south
lapis morsel,$1.99,599,,11-06-2019,east
lapis morsel,$1.99,526,,11-06-2019,west
pink morsel,3,576,1728,12-06-2019,north
pink morsel,3,505,1515,12-06-2019,south
pink morsel,3,516,1548,12-06-2019,east
pink morsel,3,559,1677,12-06-2019,west
gold morsel,$9.99,505,,12-06-2019,north
gold morsel,$9.99,577,,12-06-2019,south
gold morsel,$9.99,556,,12-06-2019,east
gold morsel,$9.99,539,,12-06-2019,west
magenta morsel,$2.50,542,,12-06-2019,north
magenta morsel,$2.50,561,,12-06-2019,south
magenta morsel,$2.50,594,,12-06-2019,east
magenta morsel,$2.50,591,,12-06-2019,west
chartreuse morsel,$3.00,564,,12-06-2019,north
chartreuse morsel,$3.00,554,,12-06-2019,south
chartreuse morsel,$3.00,591,,12-06-2019,east
chartreuse morsel,$3.00,501,,12-06-2019,west
periwinkle morsel,$1.25,543,,12-06-2019,north
periwinkle morsel,$1.25,582,,12-06-2019,south
periwinkle morsel,$1.25,537,,12-06-2019,east
periwinkle morsel,$1.25,514,,12-06-2019,west
vermilion morsel,$4.99,542,,12-06-2019,north
vermilion morsel,$4.99,519,,12-06-2019,south
vermilion morsel,$4.99,542,,12-06-2019,east
vermilion morsel,$4.99,569,,12-06-2019,west
lapis morsel,$1.99,540,,12-06-2019,north
lapis morsel,$1.99,520,,12-06-2019,south
lapis morsel,$1.99,590,,12-06-2019,east
lapis morsel,$1.99,507,,12-06-2019,west
pink morsel,3,529,1587,13-06-2019,north
pink morsel,3,573,1719,13-06-2019,south
pink morsel,3,529,1587,13-06-2019,east
pink morsel,3,591,1773,13-06-2019,west
gold morsel,$9.99,596,,13-06-2019,north
gold morsel,$9.99,570,,13-06-2019,south
gold morsel,$9.99,535,,13-06-2019,east
gold morsel,$9.99,547,,13-06-2019,west
magenta morsel,$2.50,507,,13-06-2019,north
magenta morsel,$2.50,565,,13-06-2019,south
magenta morsel,$2.50,526,,13-06-2019,east
magenta morsel,$2.50,600,,13-06-2019,west
chartreuse morsel,$3.00,561,,13-06-2019,north
chartreuse morsel,$3.00,507,,13-06-2019,south
chartreuse morsel,$3.00,565,,13-06-2019,east
chartreuse morsel,$3.00,518,,13-06-2019,west
periwinkle morsel,$1.25,533,,13-06-2019,north
periwinkle morsel,$1.25,510,,13-06-2019,south
periwinkle morsel,$1.25,542,,13-06-2019,east
periwinkle morsel,$1.25,507,,13-06-2019,west
vermilion morsel,$4.99,536,,13-06-2019,north
vermilion morsel,$4.99,537,,13-06-2019,south
vermilion morsel,$4.99,589,,13-06-2019,east
vermilion morsel,$4.99,578,,13-06-2019,west
lapis morsel,$1.99,574,,13-06-2019,north
lapis morsel,$1.99,552,,13-06-2019,south
lapis morsel,$1.99,592,,13-06-2019,east
lapis morsel,$1.99,569,,13-06-2019,west
pink morsel,3,519,1557,14-06-2019,north
pink morsel,3,560,1680,14-06-2019,south
